Marca,Title,Title_Url,Price
Selectron,"Aire Acondicionado Selectron Inverter IAC-0905, 9000BTU, EER 11.8",https://www.multimax.net/collections/aires-acondicionados/products/kit-selectron-iac-0905-9-000-btu-inverter-a-c,$299.97
Selectron,"Aire Acondicionado Selectron Inverter IAC-1205, 12000BTU",https://www.multimax.net/collections/aires-acondicionados/products/selectron-iac-1205cn-12-000btu-inverter-eer-1115-ac-split-condensador-inverter,$319.97
Selectron,"Aire Acondicionado Selectron Inverter IAC-1805, 18000BTU, EER 11.19",https://www.multimax.net/collections/aires-acondicionados/products/aire-acondicionado-selectron-inverter-18000btu,$469.97
LG,"Aire Acondicionado Residencial LG DUAL Inverter VM122CW, 12000 BTU [E]",https://www.multimax.net/collections/aires-acondicionados/products/aire-acondicionado-residencial-lg-dual-inverter-vm122cw-12000-btu-bn,$479.97
Selectron,"Aire Acondicionado Selectron Inverter IAC-2405, 24000BTU",https://www.multimax.net/collections/aires-acondicionados/products/aire-acondicionado-selectron-inverter-24000btu,$599.97
Panasonic,"Aire Acondicionado Panasonic Inverter S9VKV-2, 9000 BTU",https://www.multimax.net/collections/aires-acondicionados/products/kit-panasonic-s9vkv-2-9-000-btu-inverter,$599.97
Panasonic,"Aire Acondicionado Panasonic Inverter S12VKV-2, 12000BTU",https://www.multimax.net/collections/aires-acondicionados/products/kit-panasonic-s12vkv-2-12-000btu-inverter,$699.97
LG,"Aire Acondicionado Residencial LG DUAL Inverter, 18000 BTU [E]",https://www.multimax.net/collections/aires-acondicionados/products/kit-lg-vm182c6a-inverter-18-000-btu-enero-2021,$699.97
LG,"Aire Acondicionado Residencial LG DUAL Inverter, 24000 BTU [E]",https://www.multimax.net/collections/aires-acondicionados/products/kit-lg-vm242c6a-24-000-btu-inverter-enero-2021,$799.97
Panasonic,"Aire acondicionado Panasonic Inverter S18VKV-2, 18000BTU",https://www.multimax.net/collections/aires-acondicionados/products/kit-panasonic-s18vkv-2-18-000-btu-inverter,$929.97
LG,"Aire Acondicionado Residencial LG ARTCOOL SmartThinQ Inverter VR182C7, 18000 BTU",https://www.multimax.net/collections/aires-acondicionados/products/kit-lg-vr182c7-artcool-18-000-btu-inverter-a-c,$969.97
Selectron,"Aire Acondicionado Selectron Inverter IAC-3605, 36000BTU",https://www.multimax.net/collections/aires-acondicionados/products/aire-acondicionado-selectron-inverter-36000btu,"$1,099.97"
Panasonic,"Aire Acondicionado Panasonic Inverter S24VKV-2, 24000BTU",https://www.multimax.net/collections/aires-acondicionados/products/kit-panasonic-s24vkv-2-24-000btu-inverter,"$1,099.97"
LG,"Aire Acondicionado Residencial LG ARTCOOL SmartThinQ Inverter VR242C7, 24000 BTU",https://www.multimax.net/collections/aires-acondicionados/products/kit-lg-vr242c7-artcool-24-000btu-inverter-a-c,"$1,179.97"
Selectron,"Aire Acondicionado Selectron Inverter CIAC-6000, 60000BTU",https://www.multimax.net/collections/aires-acondicionados/products/kit-selectron-ciac-6000-60-000btu-inverter-piso-techo,"$1,569.97"
Panasonic,"Aire Acondicionado Panasonic Inverter, 36000 BTU",https://www.multimax.net/collections/aires-acondicionados/products/kit-panasonic-ps36rkv-36-000-btu-inverter,"$1,799.97"
LG,"Aire Acondicionado Residencial LG DUAL Inverter SW362H8, 36000 BTU",https://www.multimax.net/collections/aires-acondicionados/products/kit-lg-sw362h8-36-000btu-inverter-a-c,"$1,829.97"
