Marca,title,title_url,price,Price_url
NISATO,TELEVISOR SMART TV NISATO NLED32SMTYQS LED 32”,https://www.panafoto.com/televisor-smart-tv-nisato-nled32smtyqs-led-32-138834,$179.95,https://www.panafoto.com/televisor-smart-tv-nisato-nled32smtyqs-led-32-138834
NISATO,TELEVISOR NISATO LED 32 PULGADAS HD SINTONIZADOR DVB-T2,https://www.panafoto.com/televisor-nisato-led-32-pulgadas-hd-sintonizador-dvb-t2-138833,$159.95,https://www.panafoto.com/televisor-nisato-led-32-pulgadas-hd-sintonizador-dvb-t2-138833
NISATO,"Smart TV 50"" Nisato 4K LED | DVBT2  - Negro",https://www.panafoto.com/tv-nisato-led-50-smart-4k-dvbt2-142449-8316,Ahora|$299.95,https://www.panafoto.com/tv-nisato-led-50-smart-4k-dvbt2-142449-8316
SONY,TV SONY 65” | LED | 4K ULTRA HD | Procesador X1 | HDR | ANDROID TV – Más que una SMART TV |MOTION FLOW 960Hz | BLUETOOTH,https://www.panafoto.com/tv-led-de-65-4k-android-hdmi-141435-2254,"Ahora|$1,049.95",https://www.panafoto.com/tv-led-de-65-4k-android-hdmi-141435-2254
HISENSE,"TV Hisense de 55"" 4K | UHD | Smart | Netflix and Youtube One Click Remote | HDR | Motion Rate 120Mhz | 3 años de Garantia",https://www.panafoto.com/televisor-smart-tv-hisense-4k-55-negro-55h6e,Ahora|$399.95,https://www.panafoto.com/televisor-smart-tv-hisense-4k-55-negro-55h6e
DAEWOO,"Televisor Daewoo 32"" HD | 2 USB | 3 HDMI - Negro",https://www.panafoto.com/televisor-basica-daewoo-hd-32-negro-l32u550van,$119.95,https://www.panafoto.com/televisor-basica-daewoo-hd-32-negro-l32u550van
NISATO,"Televisor Smart TV Nisato FULL HD 43"" Negro",https://www.panafoto.com/televisor-smart-tv-nisato-full-hd-43-negro-nled43smtyqs,Ahora|$219.95,https://www.panafoto.com/televisor-smart-tv-nisato-full-hd-43-negro-nled43smtyqs
NISATO,"Televisor Smart TV Nisato 4K 70"" Negro",https://www.panafoto.com/televisor-smart-tv-nisato-4k-70-negro-nled70smt4kqs,$799.95,https://www.panafoto.com/televisor-smart-tv-nisato-4k-70-negro-nled70smt4kqs
NISATO,"Televisor Smart TV Nisato 4K 55"" Negro",https://www.panafoto.com/televisor-smart-tv-nisato-4k-55-negro-nled55smt4kqs,Ahora|$369.95,https://www.panafoto.com/televisor-smart-tv-nisato-4k-55-negro-nled55smt4kqs
NISATO,"Televisor LED TV Nisato FULL HD 40"" Negro",https://www.panafoto.com/televisor-led-tv-nisato-full-hd-40-negro-nled4002yq,Ahora|$169.95,https://www.panafoto.com/televisor-led-tv-nisato-full-hd-40-negro-nled4002yq
SONY,"TV SONY  49” | LED | 4K ULTRA HD| Procesador 4K-XREALITY PRO | HDR | SMART TV | X-PROTECTION PRO Contra apagones, polvo y fluctuaciones",https://www.panafoto.com/televisor-smart-uhd-tv-sony-4k-49-negro-kd49x727f,$599.95,https://www.panafoto.com/televisor-smart-uhd-tv-sony-4k-49-negro-kd49x727f
SONY,"TV SONY 55” | LED | 4K ULTRA HD| Procesador 4K-XREALITY PRO | HDR | SMART TV | X-PROTECTION PRO Contra apagones, polvo y fluctuaciones",https://www.panafoto.com/televisor-smart-uhd-tv-sony-4k-55-negro-kd55x727f,$649.95,https://www.panafoto.com/televisor-smart-uhd-tv-sony-4k-55-negro-kd55x727f
LG,"LG 43LM6300PDB | Full HD LED TV 43"" | Smart TV | FHD | Procesador Quad Core | ThinQ™ AI | 360º VR Play | Sonido Envolvente | 3 Puertos HDMI | 2 Puertos USB",https://www.panafoto.com/tv-led-de-43-2-full-hd-smart-tv-hdmi-usb-140832-6593,Ahora|$339.00,https://www.panafoto.com/tv-led-de-43-2-full-hd-smart-tv-hdmi-usb-140832-6593
