Title,Title_url,Price
"AIRE ACONDICIONADO SAMSUNG  24,000 BTU AR24NVFXBWK",https://raenco.com/departamentos/aires-acondicionados/a-as-sams-evap-ar24nvfxbwk-blanco.html,"$1,049.00 $969.00"
AIRE ACONDICIONADO  SANKEY ES-18R410 B5 ES- BASICO,https://raenco.com/departamentos/aires-acondicionados/a-as-sankey-es-18r410-b5-es-evap-basico.html,$409.00
"AIRE ACONDICIONADO SAMSUNG 24,000 BTU  AR24TVFYAWK SEER 17, WIFI, 6 POLES DIGITAL INVERTER",https://raenco.com/departamentos/aires-acondicionados/a-as-sams-evap-ar24tvfyawk-seer-17-wifi-6-poles-digital-inverter.html,"$1,059.00"
"AIRE ACONDICIONADO SAMSUNG 12,000 BTU AR12TVEAAWK INVERTER SEER 19",https://raenco.com/departamentos/aires-acondicionados/a-as-sams-evap-ar12tveaawk-nap-btu-wind-free-wifi.html,$819.00 $719.00
"AIRE ACONDICIONADO SAMSUNG 12,000BTU AR12TVFCAWKNAP WINDFREE,SPLIT AIRCO",https://raenco.com/departamentos/aires-acondicionados/a-as-sams-evap-ar12tvfcawknap-windfree-split-airco.html,$779.00 $679.00
AIRE ACONDICIONADO SANKEY ES-09INVD1 EVAP.,https://raenco.com/departamentos/aires-acondicionados/a-as-sankey-es-09invd1-evap.html,$349.00
"AIRE ACONDICIONADO SANKEY 18,000 BTU ES18INV22A BLANCO SEER 19",https://raenco.com/departamentos/aires-acondicionados/a-as-sankey-es18inv22a-blanco-evap.html,$619.00
"AIRE ACONDICIONADO  PANASONIC 9,000 BTU YS9VKV-2 INVERTER 18.5",https://raenco.com/departamentos/aires-acondicionados/a-as-pana-cs-ys9vkv-2-inverter-evap.html,$499.99 $449.99
A/AS SANKEY12 EVAP. BASICO ES-12R 410 A2,https://raenco.com/departamentos/aires-acondicionados/a-as-sankey12-evap-basico-es-12r-410-a2.html,$255.00
AIRE ACONDICIONADO SANKEY EVAP. EK60INV11. PISO TECHO,https://raenco.com/departamentos/aires-acondicionados/a-a-sankey-evap-ek60inv11-piso-techo.html,"$1,750.00"
"AIRE ACONDICIONADO PANASONIC 36,000 BTU PS36RKV INVERTER SEER 21.5",https://raenco.com/departamentos/aires-acondicionados/a-as-panas-cs-ps36rkv-inverter-evap.html,"$1,999.99 $1,879.99"
"AIRE ACONDICIONADO LG 12,000 BTU VR122CE INVERTER SEER 20.7",https://raenco.com/departamentos/aires-acondicionados/a-as-lg-cs-vr122c7-evap.html,"$1,017.95 $769.95"
AIRE ACONDICIONADO  COLD COMFORT 24000BTU INV.,https://raenco.com/departamentos/aires-acondicionados/a-as-cold-comfort-24000btu-inv-evap.html,$599.00
"AIRE ACONDICIONADO PANASONIC 9,000 BTU S9VKV-2 INVERTER 21.5",https://raenco.com/departamentos/aires-acondicionados/a-as-pana-cs-s9vkv-2-inverter-evap.html,$699.99 $649.99
"AIRE ACONDICIONADO LG 9,000 BTU VM092C6A INVERTER SEER 16",https://raenco.com/departamentos/aires-acondicionados/a-as-lg-vm092c6a-70-evap.html,$699.95 $479.95
"AIRE ACONDICIONADO LG 24,000 BTU VM242C6A INVERTER SEER 20",https://raenco.com/departamentos/aires-acondicionados/a-as-lg-vm242c6a-70-evap.html,"$1,299.95 $919.95"
Aire Acondicionado REC  Inverter 50% AHORRO ENERGETICO,https://raenco.com/departamentos/aires-acondicionados/a-as-rec-inv36-50-evap.html,"$1,199.99"
"AIRE ACONDICIONADO PANASONIC 18,000 BTU YS18VKV-2 INVERTER SEER 20.0",https://raenco.com/departamentos/aires-acondicionados/a-as-pana-cs-ys18vkv-2-inverter-evap.html,$869.99 $799.99
"AIRE ACONDICIONADO LG 18,000 BTU VM182C6A INVERTER SEER 17.5",https://raenco.com/departamentos/aires-acondicionados/a-as-lg-vm182c6a-70-evap.html,"$1,100.95 $769.95"
"AIRE ACONDICIONADO REC 60,000 BTU INVERTER",https://raenco.com/departamentos/aires-acondicionados/a-as-rec-cs-60crdn1-invert-evap.html,"$1,599.00"
AIRE ACONDICIONADO REC 25000 BTU,https://raenco.com/departamentos/aires-acondicionados/a-av-aw-rec-25000-btu.html,$499.00
"AIRE ACONDICIONADO SANKEY 12,000 BTU ES12INV22B SEER 20",https://raenco.com/departamentos/aires-acondicionados/a-as-sankey-es12inv22b-a-evap.html,$379.00
"AIRE ACONDICIONADO PANASONIC 24,000 BTU S24VKV-2 INVERTER SEER 20",https://raenco.com/departamentos/aires-acondicionados/a-as-pana-cs-s24vkv-2-inverter-evap.html,"$1,199.99 $1,149.00"
"AIRE ACONDICIONADO PANASONIC 18,000 BTU S18VKV-2 INVERTER SEER 20.5",https://raenco.com/departamentos/aires-acondicionados/a-as-pana-cs-s18vkv-2-inverter-evap.html,"$1,049.99 $969.69"
"AIRE ACONDICIONADO LG 18,000 BTU VR182C7 INVERTER SEER 19.5",https://raenco.com/departamentos/aires-acondicionados/a-as-lg-vr182c7-evap-cs.html,"$1,364.95 $969.95"
"AIRE ACONDICIONADO LG 24,000 BTU VR242C7 INVERTER SEER 20",https://raenco.com/departamentos/aires-acondicionados/a-as-lg-vr242c7-evap-cs.html,"$1,499.95 $1,179.95"
"AIRE ACONDICIONADO PANASONIC 12,000 BTU S12VKV-2 INVERTER SEER 21.5",https://raenco.com/departamentos/aires-acondicionados/a-as-pana-cs-s12vkv-2-inverter-evap.html,$799.99 $729.99
"AIRE ACONDICIONADO SAMSUNG 18,000 BTU AR18TVEAAWK INVERTER SEER 20",https://raenco.com/departamentos/aires-acondicionados/a-as-sams-evap-ar18tveaawk-nap-btu-wind-free-wifi-seer-20.html,"$1,119.00 $969.00"
DESHUMIFICADOR WHIRLPOOL WAD2005Q 20LT BLANCO,https://raenco.com/departamentos/aires-acondicionados/deshum-whp-wad2005q-20lt-blanco.html,$299.00
